Reviewer,Date of Review,Name,Giant Bomb Score
Jeff,2011-08-24 18:00:00,Street Fighter III: 3rd Strike,4
Alex,2011-08-29 12:00:00,Madden NFL 12,3
Brad,2011-09-01 13:00:00,Mortal Kombat Arcade Kollection,2
Jeff,2011-09-02 14:00:00,Bodycount,2
Patrick,2011-09-06 17:00:00,Resistance 3,4
Jeff,2011-09-06 18:00:00,Driver: San Francisco,4
Alex,2011-09-07 11:00:00,Rock of Ages,4
Brad,2011-09-12 16:00:00,Dead Island,4
Matt,2011-09-14 13:00:00,"Warhammer 40,000: Space Marine",4
Ryan,2011-09-13 12:00:00,The Gunstringer,4
Matt,2011-09-12 13:00:00,"Warhammer 40,000: Space Marine",3
Jeff,2011-09-15 00:00:00,Gears of War 3,5
Matt,2011-09-16 14:00:00,Star Fox 64 3D,3
Brad,2011-09-16 17:00:00,Renegade Ops,5
Alex,2011-09-21 12:00:00,NHL 12,4
Ryan,2011-09-22 14:00:00,Burnout CRASH!,3
Patrick,2011-09-23 17:00:00,Bit.Trip Saga,3
Ryan,2011-10-03 12:00:00,X-Men: Destiny,2
Brad,2011-10-04 17:00:00,Rage,4
Jeff,2011-10-07 14:00:00,Forza Motorsport 4,4
Brad,2011-10-12 18:00:00,Dead Rising 2: Off the Record,3
Alex,2011-10-14 07:00:00,NBA 2K12,5
Ryan,2011-10-13 15:00:00,Spider-Man: Edge of Time,2
Jeff,2011-10-14 06:00:00,Batman: Arkham City,5
Jeff,2011-10-17 18:00:00,TrackMania² Canyon,4
Patrick,2011-10-19 16:00:00,Ratchet & Clank: All 4 One,3
Alex,2011-10-20 13:00:00,Payday: The Heist,3
Brad,2011-10-24 09:00:00,Uncharted 3: Drake's Deception,5
Ryan,2011-10-24 12:00:00,Just Dance 3,2
Ryan,2011-10-24 12:00:00,Dance Central 2,4
Ryan,2011-10-26 17:00:00,The House of the Dead: OVERKILL,3
Dave,2011-10-27 18:00:00,Battlefield 3,4
Brad,2011-10-28 18:00:00,inFamous: Festival of Blood,4
Alex,2011-11-03 15:00:00,BurgerTime: World Tour,3
Jeff,2011-11-08 00:00:00,Call of Duty: Modern Warfare 3,4
Brad,2011-11-10 05:00:00,The Elder Scrolls V: Skyrim,5
Patrick,2011-11-11 03:00:00,The Legend of Zelda: Skyward Sword,4
Alex,2011-11-11 13:00:00,Saints Row: The Third,4
Jeff,2011-11-14 17:00:00,Super Mario 3D Land,4
Alex,2011-11-15 12:00:00,Rayman Origins,5
Ryan,2011-11-15 19:00:00,Assassin's Creed: Revelations,4
Jeff,2011-11-15 21:00:00,Need for Speed: The Run,2
Brad,2011-11-17 13:00:00,Halo: Combat Evolved Anniversary,4
Alex,2011-11-23 12:00:00,WWE '12,3
